file,parsed,has_meta,has_roi,has_recs,model,temp,window,period,cfg,roi,n_holdings,model_raw,err
perm_0164_gpt-4o-mini_T0.3_12mo_202411_20260616_132155.json,True,True,True,True,GPT-4o-mini,0.3,202411,12,30→5,32.38255106934941,5.0,gpt-4o-mini,
perm_0164_gpt-4o-mini_T0.3_12mo_202411_20260616_132203.json,True,True,True,True,GPT-4o-mini,0.3,202411,12,30→5,27.43583157921774,5.0,gpt-4o-mini,
perm_0164_gpt-4o_T0.3_12mo_202412_20260615_110521.json,True,True,True,True,GPT-4o,0.3,202412,12,30→15,26.555277449200005,15.0,gpt-4o,
perm_0164_gpt-4o_T0.3_12mo_202412_20260615_110559.json,True,True,True,True,GPT-4o,0.3,202412,12,30→15,34.501180302207594,15.0,gpt-4o,
perm_0164_gpt-4o_T0.3_12mo_202412_20260615_110654.json,True,True,True,True,GPT-4o,0.3,202412,12,30→15,34.63517736626571,15.0,gpt-4o,
perm_0165_gpt-4o_T0.3_12mo_202412_20260615_110743.json,True,True,True,True,GPT-4o,0.3,202412,12,30→10,55.6369993394505,10.0,gpt-4o,
perm_0165_gpt-4o_T0.3_12mo_202412_20260615_110852.json,True,True,True,True,GPT-4o,0.3,202412,12,30→10,35.89765620289611,10.0,gpt-4o,
perm_0165_gpt-4o_T0.3_12mo_202412_20260615_110930.json,True,True,True,True,GPT-4o,0.3,202412,12,30→10,21.90399583501281,10.0,gpt-4o,
perm_0169_gpt-4o_T0.3_12mo_202407_20260222_193855.json,True,True,True,True,GPT-4o,0.3,202407,12,20→5,9.712665468481028,5.0,gpt-4o,
perm_0169_gpt-4o_T0.3_12mo_202407_20260222_220620.json,True,False,False,False,GPT-4o,0.3,202407,12,,,,gpt-4o,
perm_0169_gpt-4o_T0.3_12mo_202407_20260222_220921.json,True,False,False,False,GPT-4o,0.3,202407,12,,,,gpt-4o,
perm_0169_gpt-4o_T0.3_12mo_202407_20260222_220922.json,True,False,False,False,GPT-4o,0.3,202407,12,,,,gpt-4o,
perm_0169_gpt-4o_T0.3_12mo_202407_20260222_221110.json,True,False,False,False,GPT-4o,0.3,202407,12,,,,gpt-4o,
perm_0169_gpt-4o_T0.3_12mo_202407_20260222_221227.json,True,False,False,False,GPT-4o,0.3,202407,12,,,,gpt-4o,
perm_0169_gpt-4o_T0.3_12mo_202407_20260222_222600.json,True,True,True,True,GPT-4o,0.3,202407,12,20→5,10.325158803449304,5.0,gpt-4o,
perm_0169_gpt-4o_T0.3_12mo_202407_20260222_222602.json,True,True,True,True,GPT-4o,0.3,202407,12,20→5,15.200088979940936,5.0,gpt-4o,
perm_0170_gpt-4o-mini_T0.3_12mo_202411_20260618_043038.json,True,True,True,True,GPT-4o-mini,0.3,202411,12,unfiltered,32.910464374249315,7.0,gpt-4o-mini,
perm_0170_gpt-4o_T0.3_12mo_202407_20260222_193907.json,True,True,True,True,GPT-4o,0.3,202407,12,10→5,7.559224027784531,5.0,gpt-4o,
perm_0170_gpt-4o_T0.3_12mo_202407_20260222_220620.json,True,False,False,False,GPT-4o,0.3,202407,12,,,,gpt-4o,
perm_0170_gpt-4o_T0.3_12mo_202407_20260222_220923.json,True,False,False,False,GPT-4o,0.3,202407,12,,,,gpt-4o,
perm_0170_gpt-4o_T0.3_12mo_202407_20260222_221251.json,True,False,False,False,GPT-4o,0.3,202407,12,,,,gpt-4o,
perm_0170_gpt-4o_T0.3_12mo_202407_20260222_221252.json,True,False,False,False,GPT-4o,0.3,202407,12,,,,gpt-4o,
perm_0170_gpt-4o_T0.3_12mo_202407_20260222_222653.json,True,True,True,True,GPT-4o,0.3,202407,12,10→5,14.433072946108094,5.0,gpt-4o,
