model,config,window,arm,roi,total_tokens,n_holdings
gpt-5.1,20->10,2025-02,3,A3_sequential_nocut,56.32457195622388,25281,10
gpt-5.1,20->10,2025-02,3,A4_reports_scrambled,56.04589853816627,25302,10
gpt-5.1,20->10,2025-02,3,A5_single_matched,52.59007658726734,35449,10
gpt-5.1,20->10,2025-02,3,A6_hold_all,48.89710534890366,26177,20
gpt-5.1,20->10,2025-03,3,A1_single_pool,69.62537033715002,36555,10
gpt-5.1,20->10,2025-03,3,A2_sequential_cut,69.72256626901205,23624,10
gpt-5.1,20->10,2025-03,3,A3_sequential_nocut,70.05704607154884,23671,10
gpt-5.1,20->10,2025-03,3,A4_reports_scrambled,70.85641030606821,23899,10
gpt-5.1,20->10,2025-03,3,A5_single_matched,65.78368998669397,33104,10
gpt-5.1,20->10,2025-03,3,A6_hold_all,64.57360232908962,24357,18
gpt-5.1,20->10,2025-03,2,A1_single_pool,54.068514706770145,32547,10
gpt-5.1,20->10,2025-03,2,A2_sequential_cut,47.9263289501592,23494,10
gpt-5.1,20->10,2025-03,2,A3_sequential_nocut,48.15371409565945,23369,10
gpt-5.1,20->10,2025-03,2,A4_reports_scrambled,19.217477826842533,23054,10
gpt-5.1,20->10,2025-03,2,A5_single_matched,48.65422895166584,32752,10
gpt-5.1,20->10,2025-03,2,A6_hold_all,42.46616172830544,23613,18
gpt-5.1,20->10,2025-04,1,A1_single_pool,48.63767522102913,34403,10
gpt-5.1,20->10,2025-04,1,A2_sequential_cut,50.801799018275105,24011,10
gpt-5.1,20->10,2025-04,1,A3_sequential_nocut,47.59018288295245,23926,10
gpt-5.1,20->10,2025-04,1,A4_reports_scrambled,53.32007929890098,23992,10
gpt-5.1,20->10,2025-04,1,A5_single_matched,47.477484019367786,32947,10
gpt-5.1,20->10,2025-04,1,A6_hold_all,40.45850685848833,24861,20
gpt-5.1,20->10,2025-04,2,A1_single_pool,55.712670323677884,32485,10
gpt-5.1,20->10,2025-04,2,A2_sequential_cut,51.22944248781972,22788,10
gpt-5.1,20->10,2025-04,2,A3_sequential_nocut,54.42095647195296,22506,10
gpt-5.1,20->10,2025-04,2,A4_reports_scrambled,37.484472883691744,22316,10
gpt-5.1,20->10,2025-04,2,A5_single_matched,50.0658235267915,31282,10
gpt-5.1,20->10,2025-04,2,A6_hold_all,52.60453885420012,23173,18
gpt-5.1,20->10,2025-04,3,A1_single_pool,58.78634547161595,36628,10
gpt-5.1,20->10,2025-04,3,A2_sequential_cut,67.15388258705265,24622,10
gpt-5.1,20->10,2025-04,3,A3_sequential_nocut,64.02213918666537,24484,10
gpt-5.1,20->10,2025-04,3,A4_reports_scrambled,85.17771321101871,24158,10
gpt-5.1,20->10,2025-04,3,A5_single_matched,62.72819865758478,33170,10
gpt-5.1,20->10,2025-04,3,A6_hold_all,67.21541945785764,25372,20
gpt-5.1,20->10,2025-05,2,A1_single_pool,86.22821735301822,34065,10
gpt-5.1,20->10,2025-05,2,A2_sequential_cut,103.44526829125333,23848,10
gpt-5.1,20->10,2025-05,2,A3_sequential_nocut,89.90817617628832,23758,10
gpt-5.1,20->10,2025-05,2,A4_reports_scrambled,99.48992735571144,23617,10
gpt-5.1,20->10,2025-05,2,A5_single_matched,72.11754764219066,32219,10
gpt-5.1,20->10,2025-05,2,A6_hold_all,107.8687932179212,24736,20
gpt-5.1,20->10,2025-05,1,A1_single_pool,100.78979730399847,32582,10
gpt-5.1,20->10,2025-05,1,A2_sequential_cut,96.55956820610339,23927,10
gpt-5.1,20->10,2025-05,1,A3_sequential_nocut,91.81892838256863,23600,10
gpt-5.1,20->10,2025-05,1,A4_reports_scrambled,42.96262383698795,23700,10
gpt-5.1,20->10,2025-05,1,A5_single_matched,91.54470759921894,32007,10
gpt-5.1,20->10,2025-05,1,A6_hold_all,83.92976379303092,24983,20
gpt-5.1,20->10,2025-05,3,A1_single_pool,62.668024732120955,33578,10
gpt-5.1,20->10,2025-05,3,A2_sequential_cut,67.71401514437366,24271,10
gpt-5.1,20->10,2025-05,3,A3_sequential_nocut,57.16383204164677,24306,10
gpt-5.1,20->10,2025-05,3,A4_reports_scrambled,73.86078976710593,24150,10
gpt-5.1,20->10,2025-05,3,A5_single_matched,83.54418557715177,32796,10
gpt-5.1,20->10,2025-05,3,A6_hold_all,98.27144860658805,25052,20
gpt-5.1,20->10,2025-06,1,A1_single_pool,85.5839375535398,22421,10
gpt-5.1,20->10,2025-06,1,A2_sequential_cut,54.13368906979896,14609,10
gpt-5.1,20->10,2025-06,1,A3_sequential_nocut,52.11393387323433,14495,10
gpt-5.1,20->10,2025-06,1,A4_reports_scrambled,120.64915504476426,14384,10
gpt-5.1,20->10,2025-06,1,A5_single_matched,85.58394541202317,22357,10
gpt-5.1,20->10,2025-06,1,A6_hold_all,75.89100594531763,13927,3
gpt-5.1,20->10,2025-06,2,A1_single_pool,-43.577613436542116,21988,10
gpt-5.1,20->10,2025-06,2,A2_sequential_cut,20.453743426092714,14114,10
gpt-5.1,20->10,2025-06,2,A3_sequential_nocut,-45.89020966546484,13918,10
gpt-5.1,20->10,2025-06,2,A4_reports_scrambled,-48.20280147959669,13949,10
gpt-5.1,20->10,2025-06,2,A5_single_matched,-43.577613436542116,22123,10
gpt-5.1,20->10,2025-06,2,A6_hold_all,-42.42132194426706,13399,2
